Date & Time,Status,Ambiance Temperature(C),Stack Temperature(C),Stack Voltage(V),Stack Current(A),Stack Power(W),Battery Voltage(V),Computed Stack Power (V*I) [W],Stack Power Error (logged - V*I) [W]
2026-02-17 20:28:08,NORMAL,16.0,46.0,0.2,20.0,9.2,12.9,4.0,5.199999999999999
2026-02-17 20:28:09,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:09,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:10,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:10,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:11,NORMAL,16.0,46.0,0.2,12.0,9.2,12.9,2.4000000000000004,6.799999999999999
2026-02-17 20:28:11,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:12,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:12,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
2026-02-17 20:28:13,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:13,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:14,NORMAL,16.0,46.0,0.2,22.0,9.2,12.9,4.4,4.799999999999999
2026-02-17 20:28:14,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
2026-02-17 20:28:15,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:15,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:16,NORMAL,16.0,46.0,0.2,20.0,9.2,12.9,4.0,5.199999999999999
2026-02-17 20:28:16,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:17,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:17,NORMAL,16.0,46.0,0.2,14.0,9.2,12.9,2.8000000000000003,6.399999999999999
2026-02-17 20:28:18,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:18,NORMAL,16.0,46.0,0.2,19.0,9.2,12.9,3.8000000000000003,5.399999999999999
2026-02-17 20:28:19,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:19,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
2026-02-17 20:28:20,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:20,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:21,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:21,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
2026-02-17 20:28:22,NORMAL,16.0,46.0,0.2,20.0,9.2,12.9,4.0,5.199999999999999
2026-02-17 20:28:22,NORMAL,16.0,46.0,0.2,14.0,9.2,12.9,2.8000000000000003,6.399999999999999
2026-02-17 20:28:23,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:23,NORMAL,16.0,46.0,0.2,15.0,9.2,12.9,3.0,6.199999999999999
2026-02-17 20:28:24,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:24,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:25,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:25,NORMAL,16.0,46.0,0.2,21.0,9.2,12.9,4.2,4.999999999999999
2026-02-17 20:28:26,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:26,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:27,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:27,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:28,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:28,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:29,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
2026-02-17 20:28:29,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:30,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:30,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:31,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:31,NORMAL,16.0,46.0,0.2,21.0,9.2,12.9,4.2,4.999999999999999
2026-02-17 20:28:32,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:32,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:33,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:33,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:34,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:34,NORMAL,16.0,46.0,0.2,18.0,9.2,12.1,3.6,5.6
2026-02-17 20:28:35,NORMAL,16.0,46.0,0.2,18.0,9.2,13.0,3.6,5.6
2026-02-17 20:28:35,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:36,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:36,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:37,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:37,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:38,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:38,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:39,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:39,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:40,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:40,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:41,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:41,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:42,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:42,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:43,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:43,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:44,NORMAL,16.0,46.0,0.2,14.0,9.2,12.9,2.8000000000000003,6.399999999999999
2026-02-17 20:28:44,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:45,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:45,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:46,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:46,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:47,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
2026-02-17 20:28:47,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:48,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:48,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:49,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:49,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:50,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:50,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:51,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:51,NORMAL,16.0,46.0,0.2,22.0,9.2,12.9,4.4,4.799999999999999
2026-02-17 20:28:52,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:52,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:53,NORMAL,16.0,46.0,0.2,20.0,9.2,12.9,4.0,5.199999999999999
2026-02-17 20:28:53,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
2026-02-17 20:28:54,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:54,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
2026-02-17 20:28:55,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:55,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
