timestamp,nbytes,opcode,reg,value,bytes
2026-02-17 20:33:01.178,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:01.670,7,49,,,00 20 31 23 00 01 81
2026-02-17 20:33:02.183,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:02.679,7,138,35.0,385.0,00 20 8A 00 23 01 81
2026-02-17 20:33:03.177,8,138,42.0,1.0,00 20 8A 00 2A 00 01 81
2026-02-17 20:33:03.678,8,138,42.0,1.0,00 20 8A 00 2A 00 01 81
2026-02-17 20:33:04.178,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:04.677,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:05.178,8,138,36.0,2.0,00 20 8A 00 24 00 02 81
2026-02-17 20:33:05.678,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:06.196,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:06.681,8,138,36.0,1.0,00 1F 8A 00 24 00 01 81
2026-02-17 20:33:07.177,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:07.675,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:08.192,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:08.679,8,138,38.0,1.0,00 20 8A 00 26 00 01 81
2026-02-17 20:33:09.179,8,138,38.0,1.0,00 20 8A 00 26 00 01 81
2026-02-17 20:33:09.692,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:10.190,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:10.692,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:11.191,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:11.692,8,138,33.0,1.0,00 20 8A 00 21 00 01 81
2026-02-17 20:33:12.181,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:12.685,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:13.198,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:13.698,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:14.194,8,138,38.0,1.0,00 20 8A 00 26 00 01 81
2026-02-17 20:33:14.695,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:15.200,8,138,28.0,1.0,00 20 8A 00 1C 00 01 81
2026-02-17 20:33:15.685,8,138,43.0,1.0,00 20 8A 00 2B 00 01 81
2026-02-17 20:33:16.198,8,138,29.0,1.0,00 20 8A 00 1D 00 01 81
2026-02-17 20:33:16.697,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:17.196,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:33:17.699,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
