Date & Time               Status     Amb Temp(C)  Stack Temp(C)   Stack V(V)   Stack I(A)   Stack P(W)   Bat V(V)  
'2/17/2026 8:58:52 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:53 PM'    'NORMAL'   16           46.000000       0.200000     10           9.200000     12.900000 
'2/17/2026 8:58:53 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:54 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:54 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:55 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:55 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:56 PM'    'NORMAL'   16           46.000000       0.200000     22           9.200000     12.900000 
'2/17/2026 8:58:56 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:57 PM'    'NORMAL'   16           46.000000       0.200000     16           9.200000     12.900000 
'2/17/2026 8:58:57 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:58 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:58 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:59 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:59 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:59:00 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:59:01 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:59:01 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:02 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:02 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:03 PM'    'NORMAL'   16           46.000000       0.200000     14           9.200000     12.900000 
'2/17/2026 8:59:03 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:04 PM'    'NORMAL'   16           46.000000       0.200000     14           9.200000     13.000000 
'2/17/2026 8:59:04 PM'    'NORMAL'   16           46.000000       0.200000     19           9.200000     12.900000 
'2/17/2026 8:59:05 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:05 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:06 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     13.000000 
'2/17/2026 8:59:06 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:07 PM'    'NORMAL'   16           46.000000       0.200000     19           9.200000     12.900000 
'2/17/2026 8:59:07 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:08 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:59:08 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:09 PM'    'NORMAL'   16           46.000000       0.200000     20           9.200000     12.900000 
'2/17/2026 8:59:09 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:10 PM'    'NORMAL'   16           46.000000       0.200000     16           9.200000     12.900000 
'2/17/2026 8:59:10 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:11 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:59:11 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:12 PM'    'NORMAL'   16           46.000000       0.200000     20           9.200000     12.900000 
'2/17/2026 8:59:12 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:13 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:13 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:14 PM'    'NORMAL'   16           46.000000       0.200000     14           9.200000     12.900000 
'2/17/2026 8:59:14 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:15 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:15 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:59:16 PM'    'NORMAL'   16           46.000000       0.200000     15           9.200000     12.900000 
'2/17/2026 8:59:16 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:17 PM'    'NORMAL'   15           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:17 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:18 PM'    'NORMAL'   16           46.000000       0.200000     16           9.200000     12.900000 
'2/17/2026 8:59:18 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:19 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:19 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:20 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:20 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:59:21 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:59:21 PM'    'NORMAL'   16           46.000000       0.200000     20           9.200000     12.900000 
'2/17/2026 8:59:22 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:59:22 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:23 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:23 PM'    'NORMAL'   16           46.000000       0.200000     20           9.200000     12.900000 
'2/17/2026 8:59:24 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:24 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:25 PM'    'NORMAL'   16           46.000000       0.200000     14           9.200000     12.900000 
'2/17/2026 8:59:25 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:26 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:26 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:27 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:59:27 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:28 PM'    'NORMAL'   16           46.000000       0.200000     15           9.200000     12.900000 
'2/17/2026 8:59:28 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:59:29 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:59:29 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:30 PM'    'NORMAL'   16           46.000000       0.200000     21           9.200000     12.900000 
'2/17/2026 8:59:30 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:59:31 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:31 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:32 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:32 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:59:33 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
